alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,year
67,Andere Situation2),2361.0,22.7,2.5,0.6,,2024
67,Total,92997.0,3.5,100.0,,,2024
68,Mieter oder Genossenschafter,35898.0,5.8,39.0,1.7,,2024
68,Eigentümer,53076.0,4.6,57.6,1.8,,2024
68,Andere Situation2),3108.0,19.6,3.4,0.7,,2024
68,Total,92082.0,3.5,100.0,,,2024
69,Mieter oder Genossenschafter,33101.0,6.0,39.2,1.8,,2024
69,Eigentümer,49213.0,4.8,58.2,1.8,,2024
69,Andere Situation2),2188.0,23.2,2.6,0.6,,2024
69,Total,84502.0,3.7,100.0,,,2024
70,Mieter oder Genossenschafter,32983.0,6.0,38.8,1.8,,2024
70,Eigentümer,49545.0,4.9,58.2,1.9,,2024
70,Andere Situation2),2555.0,23.4,3.0,0.7,,2024
70,Total,85083.0,3.7,100.0,,,2024
71,Mieter oder Genossenschafter,31924.0,6.1,39.3,1.9,,2024
71,Eigentümer,46272.0,5.1,57.0,1.9,,2024
71,Andere Situation2),2995.0,20.9,3.7,0.8,,2024
71,Total,81191.0,3.8,100.0,,,2024
72,Mieter oder Genossenschafter,30086.0,6.4,37.9,1.9,,2024
72,Eigentümer,46810.0,5.0,58.9,1.9,,2024
72,Andere Situation2),2538.0,22.0,3.2,0.7,,2024
72,Total,79434.0,3.9,100.0,,,2024
73,Mieter oder Genossenschafter,28670.0,6.4,38.4,1.9,,2024
73,Eigentümer,43219.0,5.2,57.9,2.0,,2024
73,Andere Situation2),2791.0,21.6,3.7,0.8,,2024
73,Total,74680.0,3.9,100.0,,,2024
74,Mieter oder Genossenschafter,30252.0,6.4,40.0,2.0,,2024
74,Eigentümer,42138.0,5.2,55.7,2.0,,2024
74,Andere Situation2),3259.0,19.3,4.3,0.8,,2024
74,Total,75648.0,3.9,100.0,,,2024
75,Mieter oder Genossenschafter,28285.0,6.4,38.8,2.0,,2024
75,Eigentümer,41097.0,5.3,56.4,2.0,,2024
75,Andere Situation2),3470.0,19.2,4.8,0.9,,2024
75,Total,72852.0,4.0,100.0,,,2024
76,Mieter oder Genossenschafter,27989.0,6.4,38.0,1.9,,2024
76,Eigentümer,42231.0,5.2,57.4,2.0,,2024
76,Andere Situation2),3403.0,19.8,4.6,0.9,,2024
76,Total,73623.0,4.0,100.0,,,2024
77,Mieter oder Genossenschafter,28754.0,6.3,39.4,1.9,,2024
77,Eigentümer,40521.0,5.3,55.5,2.0,,2024
77,Andere Situation2),3770.0,17.4,5.2,0.9,,2024
77,Total,73045.0,4.0,100.0,,,2024
78,Mieter oder Genossenschafter,26932.0,6.4,39.4,2.0,,2024
78,Eigentümer,38598.0,5.4,56.5,2.0,,2024
78,Andere Situation2),2790.0,20.0,4.1,0.8,,2024
78,Total,68319.0,4.0,100.0,,,2024
79,Mieter oder Genossenschafter,24473.0,6.8,38.2,2.1,,2024
79,Eigentümer,35765.0,5.6,55.8,2.1,,2024
79,Andere Situation2),3912.0,17.7,6.1,1.0,,2024
79,Total,64150.0,4.2,100.0,,,2024
80,Mieter oder Genossenschafter,25436.0,6.7,41.3,2.1,,2024
80,Eigentümer,33012.0,5.9,53.6,2.2,,2024
80,Andere Situation2),3137.0,19.1,5.1,0.9,,2024
80,Total,61584.0,4.3,100.0,,,2024
81,Mieter oder Genossenschafter,23587.0,7.0,41.0,2.2,,2024
81,Eigentümer,30802.0,6.1,53.5,2.2,,2024
81,Andere Situation2),3187.0,18.8,5.5,1.0,,2024
81,Total,57577.0,4.5,100.0,,,2024
82,Mieter oder Genossenschafter,20095.0,7.5,38.9,2.3,,2024
82,Eigentümer,28515.0,6.4,55.2,2.3,,2024
82,Andere Situation2),3061.0,19.8,5.9,1.1,,2024
82,Total,51671.0,4.7,100.0,,,2024
83,Mieter oder Genossenschafter,17971.0,8.2,41.0,2.6,,2024
83,Eigentümer,23057.0,7.1,52.7,2.6,,2024
83,Andere Situation2),2761.0,20.1,6.3,1.2,,2024
83,Total,43788.0,5.2,100.0,,,2024
84,Mieter oder Genossenschafter,17398.0,8.1,43.6,2.6,,2024
84,Eigentümer,19960.0,7.6,50.0,2.7,,2024
84,Andere Situation2),2581.0,21.0,6.5,1.3,,2024
84,Total,39940.0,5.3,100.0,,,2024
85,Mieter oder Genossenschafter,15761.0,8.7,42.7,2.8,,2024
85,Eigentümer,18642.0,8.1,50.5,2.9,,2024
85,Andere Situation2),2491.0,23.4,6.8,1.5,,2024
85,Total,36894.0,5.7,100.0,,,2024
86,Mieter oder Genossenschafter,14899.0,9.0,47.6,3.1,,2024
86,Eigentümer,14098.0,9.3,45.1,3.1,,2024
86,Andere Situation2),2278.0,23.2,7.3,1.6,,2024
86,Total,31275.0,6.2,100.0,,,2024
87,Mieter oder Genossenschafter,12113.0,9.8,44.2,3.3,,2024
87,Eigentümer,13192.0,9.6,48.1,3.3,,2024
87,Andere Situation2),2128.0,24.2,7.8,1.8,,2024
87,Total,27433.0,6.6,100.0,,,2024
88,Mieter oder Genossenschafter,10590.0,10.4,42.6,3.4,,2024
88,Eigentümer,12051.0,10.1,48.5,3.5,,2024
88,Andere Situation2),2190.0,24.5,8.8,2.1,,2024
88,Total,24831.0,6.9,100.0,,,2024
89,Mieter oder Genossenschafter,9113.0,11.4,43.2,3.7,,2024
89,Eigentümer,9438.0,11.3,44.8,3.8,,2024
89,Andere Situation2),2520.0,23.0,12.0,2.6,,2024
89,Total,21070.0,7.6,100.0,,,2024
90,Mieter oder Genossenschafter,7807.0,12.2,49.0,4.3,,2024
90,Eigentümer,6801.0,13.5,42.7,4.3,,2024
90,Andere Situation2),1317.0,30.6,8.3,2.4,,2024
90,Total,15925.0,8.7,100.0,,,2024
91,Mieter oder Genossenschafter,5397.0,14.7,44.9,5.0,,2024
91,Eigentümer,5679.0,14.5,47.2,5.0,,2024
91,Andere Situation2),947.3,37.4,7.9,2.8,*****,2024
91,Total,12022.0,10.0,100.0,,,2024
92,Mieter oder Genossenschafter,4228.0,17.1,44.4,5.6,,2024
92,Eigentümer,4148.0,17.2,43.6,5.6,,2024
92,Andere Situation2),1140.0,33.1,12.0,3.7,*****,2024
92,Total,9516.0,11.4,100.0,,,2024
93,Mieter oder Genossenschafter,3028.0,19.1,40.2,6.1,,2024
93,Eigentümer,3335.0,18.9,44.3,6.3,,2024
93,Andere Situation2),1166.0,35.5,15.5,5.0,*****,2024
93,Total,7529.0,12.6,100.0,,,2024
94,Mieter oder Genossenschafter,2491.0,21.1,41.7,6.9,,2024
94,Eigentümer,2999.0,20.5,50.2,7.0,,2024
94,Andere Situation2),489.4,47.3,8.2,3.7,*****,2024
94,Total,5979.0,14.1,100.0,,,2024
95,Mieter oder Genossenschafter,1832.0,25.2,43.3,8.4,,2024
95,Eigentümer,1783.0,27.2,42.1,8.5,,2024
95,Andere Situation2),616.5,41.8,14.6,5.7,*****,2024
95,Total,4232.0,16.9,100.0,,,2024
96,Mieter oder Genossenschafter,1242.0,30.0,50.8,10.9,*****,2024
96,Eigentümer,966.6,36.3,39.5,10.9,*****,2024
96,Andere Situation2),236.2,65.2,9.7,6.0,*****,2024
96,Total,2445.0,21.8,100.0,,,2024
97,Mieter oder Genossenschafter,822.0,35.6,52.8,13.2,*****,2024
97,Eigentümer,555.2,45.8,35.7,12.9,*****,2024
97,Andere Situation2),178.4,76.7,11.5,8.3,*****,2024
97,Total,1556.0,26.4,100.0,,,2024
98,Mieter oder Genossenschafter,546.8,45.9,40.3,14.6,*****,2024
98,Eigentümer,689.3,43.5,50.8,15.0,*****,2024
98,Andere Situation2),120.3,93.4,8.9,8.0,*****,2024
98,Total,1356.0,30.0,100.0,,*****,2024
99,Mieter oder Genossenschafter,350.7,60.9,53.6,22.2,*****,2024
99,Eigentümer,286.3,68.1,43.7,22.1,*****,2024
99,Andere Situation2),,,,,,2024
99,Total,654.6,44.5,100.0,,*****,2024
