alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,time_period,source_sheet,sheet_type
62,Mieter oder Genossenschafter,53552.0,5.0,44.9,1.6,,2024,SE2024,bewohnertyp
62,Eigentümer,62616.0,4.4,52.5,1.6,,2024,SE2024,bewohnertyp
62,Andere Situation2),3033.0,21.5,2.5,0.5,,2024,SE2024,bewohnertyp
62,Total,119201.0,3.2,100.0,,,2024,SE2024,bewohnertyp
63,Mieter oder Genossenschafter,48419.0,5.2,42.6,1.7,,2024,SE2024,bewohnertyp
63,Eigentümer,62266.0,4.4,54.8,1.7,,2024,SE2024,bewohnertyp
63,Andere Situation2),3003.0,22.3,2.6,0.6,,2024,SE2024,bewohnertyp
63,Total,113687.0,3.3,100.0,,,2024,SE2024,bewohnertyp
64,Mieter oder Genossenschafter,47988.0,5.2,43.9,1.7,,2024,SE2024,bewohnertyp
64,Eigentümer,59027.0,4.5,54.0,1.7,,2024,SE2024,bewohnertyp
64,Andere Situation2),2299.0,23.0,2.1,0.5,,2024,SE2024,bewohnertyp
64,Total,109313.0,3.4,100.0,,,2024,SE2024,bewohnertyp
65,Mieter oder Genossenschafter,44907.0,5.4,41.7,1.7,,2024,SE2024,bewohnertyp
65,Eigentümer,60111.0,4.5,55.8,1.7,,2024,SE2024,bewohnertyp
65,Andere Situation2),2621.0,23.7,2.4,0.6,,2024,SE2024,bewohnertyp
65,Total,107639.0,3.4,100.0,,,2024,SE2024,bewohnertyp
66,Mieter oder Genossenschafter,38663.0,5.7,39.8,1.7,,2024,SE2024,bewohnertyp
66,Eigentümer,56158.0,4.6,57.9,1.8,,2024,SE2024,bewohnertyp
66,Andere Situation2),2201.0,24.9,2.3,0.6,,2024,SE2024,bewohnertyp
66,Total,97022.0,3.5,100.0,,,2024,SE2024,bewohnertyp
67,Mieter oder Genossenschafter,37587.0,5.7,40.4,1.8,,2024,SE2024,bewohnertyp
67,Eigentümer,53049.0,4.7,57.0,1.8,,2024,SE2024,bewohnertyp
67,Andere Situation2),2361.0,22.7,2.5,0.6,,2024,SE2024,bewohnertyp
67,Total,92997.0,3.5,100.0,,,2024,SE2024,bewohnertyp
68,Mieter oder Genossenschafter,35898.0,5.8,39.0,1.7,,2024,SE2024,bewohnertyp
68,Eigentümer,53076.0,4.6,57.6,1.8,,2024,SE2024,bewohnertyp
68,Andere Situation2),3108.0,19.6,3.4,0.7,,2024,SE2024,bewohnertyp
68,Total,92082.0,3.5,100.0,,,2024,SE2024,bewohnertyp
69,Mieter oder Genossenschafter,33101.0,6.0,39.2,1.8,,2024,SE2024,bewohnertyp
69,Eigentümer,49213.0,4.8,58.2,1.8,,2024,SE2024,bewohnertyp
69,Andere Situation2),2188.0,23.2,2.6,0.6,,2024,SE2024,bewohnertyp
69,Total,84502.0,3.7,100.0,,,2024,SE2024,bewohnertyp
70,Mieter oder Genossenschafter,32983.0,6.0,38.8,1.8,,2024,SE2024,bewohnertyp
70,Eigentümer,49545.0,4.9,58.2,1.9,,2024,SE2024,bewohnertyp
70,Andere Situation2),2555.0,23.4,3.0,0.7,,2024,SE2024,bewohnertyp
70,Total,85083.0,3.7,100.0,,,2024,SE2024,bewohnertyp
71,Mieter oder Genossenschafter,31924.0,6.1,39.3,1.9,,2024,SE2024,bewohnertyp
71,Eigentümer,46272.0,5.1,57.0,1.9,,2024,SE2024,bewohnertyp
71,Andere Situation2),2995.0,20.9,3.7,0.8,,2024,SE2024,bewohnertyp
71,Total,81191.0,3.8,100.0,,,2024,SE2024,bewohnertyp
72,Mieter oder Genossenschafter,30086.0,6.4,37.9,1.9,,2024,SE2024,bewohnertyp
72,Eigentümer,46810.0,5.0,58.9,1.9,,2024,SE2024,bewohnertyp
72,Andere Situation2),2538.0,22.0,3.2,0.7,,2024,SE2024,bewohnertyp
72,Total,79434.0,3.9,100.0,,,2024,SE2024,bewohnertyp
73,Mieter oder Genossenschafter,28670.0,6.4,38.4,1.9,,2024,SE2024,bewohnertyp
73,Eigentümer,43219.0,5.2,57.9,2.0,,2024,SE2024,bewohnertyp
73,Andere Situation2),2791.0,21.6,3.7,0.8,,2024,SE2024,bewohnertyp
73,Total,74680.0,3.9,100.0,,,2024,SE2024,bewohnertyp
74,Mieter oder Genossenschafter,30252.0,6.4,40.0,2.0,,2024,SE2024,bewohnertyp
74,Eigentümer,42138.0,5.2,55.7,2.0,,2024,SE2024,bewohnertyp
74,Andere Situation2),3259.0,19.3,4.3,0.8,,2024,SE2024,bewohnertyp
74,Total,75648.0,3.9,100.0,,,2024,SE2024,bewohnertyp
75,Mieter oder Genossenschafter,28285.0,6.4,38.8,2.0,,2024,SE2024,bewohnertyp
75,Eigentümer,41097.0,5.3,56.4,2.0,,2024,SE2024,bewohnertyp
75,Andere Situation2),3470.0,19.2,4.8,0.9,,2024,SE2024,bewohnertyp
75,Total,72852.0,4.0,100.0,,,2024,SE2024,bewohnertyp
76,Mieter oder Genossenschafter,27989.0,6.4,38.0,1.9,,2024,SE2024,bewohnertyp
76,Eigentümer,42231.0,5.2,57.4,2.0,,2024,SE2024,bewohnertyp
76,Andere Situation2),3403.0,19.8,4.6,0.9,,2024,SE2024,bewohnertyp
76,Total,73623.0,4.0,100.0,,,2024,SE2024,bewohnertyp
77,Mieter oder Genossenschafter,28754.0,6.3,39.4,1.9,,2024,SE2024,bewohnertyp
77,Eigentümer,40521.0,5.3,55.5,2.0,,2024,SE2024,bewohnertyp
77,Andere Situation2),3770.0,17.4,5.2,0.9,,2024,SE2024,bewohnertyp
77,Total,73045.0,4.0,100.0,,,2024,SE2024,bewohnertyp
78,Mieter oder Genossenschafter,26932.0,6.4,39.4,2.0,,2024,SE2024,bewohnertyp
78,Eigentümer,38598.0,5.4,56.5,2.0,,2024,SE2024,bewohnertyp
78,Andere Situation2),2790.0,20.0,4.1,0.8,,2024,SE2024,bewohnertyp
78,Total,68319.0,4.0,100.0,,,2024,SE2024,bewohnertyp
79,Mieter oder Genossenschafter,24473.0,6.8,38.2,2.1,,2024,SE2024,bewohnertyp
79,Eigentümer,35765.0,5.6,55.8,2.1,,2024,SE2024,bewohnertyp
79,Andere Situation2),3912.0,17.7,6.1,1.0,,2024,SE2024,bewohnertyp
79,Total,64150.0,4.2,100.0,,,2024,SE2024,bewohnertyp
80,Mieter oder Genossenschafter,25436.0,6.7,41.3,2.1,,2024,SE2024,bewohnertyp
80,Eigentümer,33012.0,5.9,53.6,2.2,,2024,SE2024,bewohnertyp
80,Andere Situation2),3137.0,19.1,5.1,0.9,,2024,SE2024,bewohnertyp
80,Total,61584.0,4.3,100.0,,,2024,SE2024,bewohnertyp
81,Mieter oder Genossenschafter,23587.0,7.0,41.0,2.2,,2024,SE2024,bewohnertyp
81,Eigentümer,30802.0,6.1,53.5,2.2,,2024,SE2024,bewohnertyp
81,Andere Situation2),3187.0,18.8,5.5,1.0,,2024,SE2024,bewohnertyp
81,Total,57577.0,4.5,100.0,,,2024,SE2024,bewohnertyp
82,Mieter oder Genossenschafter,20095.0,7.5,38.9,2.3,,2024,SE2024,bewohnertyp
82,Eigentümer,28515.0,6.4,55.2,2.3,,2024,SE2024,bewohnertyp
82,Andere Situation2),3061.0,19.8,5.9,1.1,,2024,SE2024,bewohnertyp
82,Total,51671.0,4.7,100.0,,,2024,SE2024,bewohnertyp
83,Mieter oder Genossenschafter,17971.0,8.2,41.0,2.6,,2024,SE2024,bewohnertyp
