year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2019,praemienverbilligung,86 – 90,86,90,beneficiaries_count,43082.0,Anzahl,count,
2019,praemienverbilligung,86 – 90,86,90,beneficiary_rate,0.32,Anteil,rate,
2019,praemienverbilligung,86 – 90,86,90,total_mio_chf,159.751,CHF,mio_chf,
2019,okp_kostenbeteiligung,0 – 5,0,5,total_mio_chf,62.72129843833001,CHF,mio_chf,
2019,okp_kostenbeteiligung,0 – 5,0,5,per_capita_chf,129.35412759671817,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,6 – 10,6,10,total_mio_chf,38.869695887659994,CHF,mio_chf,
2019,okp_kostenbeteiligung,6 – 10,6,10,per_capita_chf,89.96139612665186,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,11 – 15,11,15,total_mio_chf,43.16288185526,CHF,mio_chf,
2019,okp_kostenbeteiligung,11 – 15,11,15,per_capita_chf,103.69731598046013,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,16 – 18,16,18,total_mio_chf,33.92045063567,CHF,mio_chf,
2019,okp_kostenbeteiligung,16 – 18,16,18,per_capita_chf,138.07959216300785,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,19 – 20,19,20,total_mio_chf,79.15772580146,CHF,mio_chf,
2019,okp_kostenbeteiligung,19 – 20,19,20,per_capita_chf,455.5195667924559,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,21 – 25,21,25,total_mio_chf,216.67276135655004,CHF,mio_chf,
2019,okp_kostenbeteiligung,21 – 25,21,25,per_capita_chf,457.1286103096035,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,26 – 30,26,30,total_mio_chf,261.51960244533,CHF,mio_chf,
2019,okp_kostenbeteiligung,26 – 30,26,30,per_capita_chf,455.74074816308234,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,31 – 35,31,35,total_mio_chf,301.15343699657,CHF,mio_chf,
2019,okp_kostenbeteiligung,31 – 35,31,35,per_capita_chf,492.46715870211455,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,36 – 40,36,40,total_mio_chf,326.7007755768099,CHF,mio_chf,
2019,okp_kostenbeteiligung,36 – 40,36,40,per_capita_chf,534.2158560823697,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,41 – 45,41,45,total_mio_chf,333.84795717464004,CHF,mio_chf,
2019,okp_kostenbeteiligung,41 – 45,41,45,per_capita_chf,571.1705923738311,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,46 – 50,46,50,total_mio_chf,377.7845131246799,CHF,mio_chf,
2019,okp_kostenbeteiligung,46 – 50,46,50,per_capita_chf,609.9317006876298,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,51 – 55,51,55,total_mio_chf,434.50607154524994,CHF,mio_chf,
2019,okp_kostenbeteiligung,51 – 55,51,55,per_capita_chf,651.2969811568552,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,56 – 60,56,60,total_mio_chf,413.16041517016,CHF,mio_chf,
2019,okp_kostenbeteiligung,56 – 60,56,60,per_capita_chf,682.9040239960567,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,61 – 65,61,65,total_mio_chf,366.21095882481,CHF,mio_chf,
2019,okp_kostenbeteiligung,61 – 65,61,65,per_capita_chf,738.0582815446742,CHF,chf_per_capita_year,
2019,okp_kostenbeteiligung,66 – 70,66,70,total_mio_chf,337.33706709059993,CHF,mio_chf,
