year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2016,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,151087867.308,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,20-24,20,24,n_personen,475353.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,20-24,20,24,sum_einkommen,14049075358.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1180122330.072,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,25-29,25,29,n_personen,596165.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,25-29,25,29,sum_einkommen,29494330980.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2477523802.32,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,30-34,30,34,n_personen,609801.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,30-34,30,34,sum_einkommen,38347082660.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,3221154943.44,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,35-39,35,39,n_personen,583364.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,35-39,35,39,sum_einkommen,41501066068.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3486089549.712,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,40-44,40,44,n_personen,563790.0,Anzahl,count,nur_arbeitnehmende
2016,ahv_einnahmen,40-44,40,44,sum_einkommen,44618774742.0,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3747977078.328,CHF,chf,nur_arbeitnehmende
2016,ahv_einnahmen,45-49,45,49,n_personen,607005.0,Anzahl,count,nur_arbeitnehmende
